Name,Category,Type,RGBController,VID,PID,SVID,SPID,Save,Direct,Effects,Comments
"Bloody W60 Pro","Mouse","USB","BloodyMouse","09DA","37EA","","","❌","✔️","❌",""
"Bloody MP 50RS","Mouse","USB","BloodyMouse","09DA","FA60","","","❌","✔️","❌",""
"AMD Wraith Prism","Cooler","USB","AMD Wraith Prism","2516","0051","","","🚫","✔️","⚒️","The Wraith Prism comes with 2 cables but is only detectable
and controlable when using the USB cable. `Morse Code` and `Mirage`
modes have not been implemented. Saving to flash is supported by
the device but not yet implemented."
"AOC GK500","Keyboard","USB","AOC Keyboard","3938","1178","","","❌","✔️","✔️",""
"AOC GM500","Mouse","USB","AOC Mouse","3938","1179","","","❌","✔️","✔️",""
"AOC AGON AMM700","Mousemat","USB","AOC Mousemat","3938","1162","","","❌","✔️","✔️",""
"ASRock Polychrome USB","Motherboard","USB","ASrock Polychrome USB","26CE","01A2","","","🤖","❌","✔️","ASRock Polychrome controllers will save with each update."
"ASRock Deskmini Addressable LED Strip","Motherboard","USB","ASrock Polychrome USB","26CE","01A6","","","🤖","❌","✔️","ASRock Polychrome controllers will save with each update."
"","Motherboard","SMBus","ASRock ASR RGB SMBus","","","","","🤖","❌","✔️","ASRock ASR RGB LED controllers will save with each update.
Per ARGB LED support is not possible with these devices."
"","Motherboard","SMBus","ASRock Polychrome v1 SMBus","","","","","🤖","❌","✔️","ASRock Polychrome v1 controllers will save with each update.
Per ARGB LED support is not possible with these devices.
ARGB size  and color order is set using the `ARGB Header Config mode`
`Right` = GRB mode that is needed for WS2812B ARGB devices and `Left` = RGB used for WS2811 strips
The modes speed slider will set the size of the header
Spectrum Cycles uses the RGB values to set the individual color brightness."
"","Motherboard","SMBus","ASRock Polychrome v2 SMBus","","","","","🤖","❌","✔️","ASRock Polychrome v2 controllers will save with each update.
Per ARGB LED support is not possible with these devices."
"Dell G Series LED Controller","Keyboard","USB","Alienware","187C","0550","","","❌","❌","✔️",""
"Alienware AW510K","Keyboard","USB","Alienware AW510 Keyboard","04F2","1830","","","❌","✔️","✔️",""
"Anne Pro 2","Keyboard","USB","Anne Pro 2","04D9","8008","","","❌","✔️","❌",""
"Anne Pro 2","Keyboard","USB","Anne Pro 2","04D9","8009","","","❌","✔️","❌",""
"Anne Pro 2","Keyboard","USB","Anne Pro 2","04D9","A292","","","❌","✔️","❌",""
"Anne Pro 2","Keyboard","USB","Anne Pro 2","04D9","A293","","","❌","✔️","❌",""
"ASUS Aura Core","Keyboard
LEDStrip","USB","Asus AURA Core","0B05","1854","","","❌","🚨","✔️",""
"ASUS Aura Core","Keyboard
LEDStrip","USB","Asus AURA Core","0B05","1866","","","❌","🚨","✔️",""
"ASUS Aura Core","Keyboard
LEDStrip","USB","Asus AURA Core","0B05","1869","","","❌","🚨","✔️",""
"ASUS ROG Strix SCAR 15","DEVICE_TYPE_KEYBOARD","USB","AsusAuraCoreLaptop","0B05","19B6","","","❌","✔️","✔️","Power profiles for this controller are set to `On` for all power
state and scan be adjusted in the JSON config file.

For each zone available LEDs can be set as `On = true` or `Off = false` when
* Booting
* Awake (Normal Usage)
* Sleeping
* Shutdown / Power Off"
"ASUS ROG Strix GTX 1050 O2G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1C81","1043","85D8","❌","✔️","✔️",""
"ASUS ROG Strix GTX 1050 TI 4G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1C82","1043","8611","❌","✔️","✔️",""
"ASUS ROG Strix GTX 1050 TI O4G Gaming","GPU","SMBus","Asus Aura GPU","10DE","1C82","1043","85CD","❌","✔️","✔️",""
